OBJECTID,SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM
4830,3391    0808,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2014-04-01T00:00:00.000Z,200000,Q,1937,1970,1985,1,653,41,963,2018-09-17T09:53:41.000Z
4831,3391    0809,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2009-02-19T00:00:00.000Z,230000,Q,1937,2009,1967,1,950,41,1450,2018-09-17T09:53:41.000Z
4832,3391    0811,1,1,C,Brick/Concr,35,Average +,CB,Concrete Block,12,,2007-01-12T00:00:00.000Z,0,U,1948,,1955,1,10193,41,19251,2018-09-17T09:53:41.000Z
4833,3393    0060,1,1,C,Brick/Concr,35,Average +,BR,Brick,10,,2017-11-30T00:00:00.000Z,750000,Q,1937,2012,1976,4,3851,41,4400,2018-09-17T09:53:41.000Z
4834,3393    0061,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2017-04-12T00:00:00.000Z,600000,U,1928,,1978,3,3968,42,3300,2018-09-17T09:53:41.000Z
4835,3393    0092,1,1,C,Brick/Concr,30,Average,BV,Brick Veneer,9,10,2016-08-12T00:00:00.000Z,925000,Q,1936,,1979,3,9615,21,7865,2018-09-17T09:53:41.000Z
4836,3393    0106,1,1,7,3 Story,30,Average,BR,Brick,,16,1900-01-01T00:00:00.000Z,0,U,2018,,2018,1,14990,22,10204,2018-09-17T09:53:41.000Z
4837,2865    0827,1,1,C,Brick/Concr,30,Average,BR,Brick,9,19,2014-01-29T00:00:00.000Z,0,U,1958,1981,1967,1,16424,21,10690,2018-09-17T09:53:41.000Z
4838,2865    0831,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,23,2013-08-15T00:00:00.000Z,3600000,Q,1958,,1990,1,19440,21,8591,2018-09-17T09:53:41.000Z
4839,2866    0081,1,1,C,Brick/Concr,15,Poor +,BR,Brick,10,26,1900-01-01T00:00:00.000Z,,U,0,,1915,1,23348,21,12180,2018-09-17T09:53:41.000Z
4840,2866    0087,1,1,C,Brick/Concr,40,Good,BR,Brick,9,8,2003-11-19T00:00:00.000Z,456000,Q,1900,1985,1972,1,3576,28,6000,2018-09-17T09:53:41.000Z
4841,2866    0087,2,1,C,Brick/Concr,40,Good,BR,Brick,12,,2003-11-19T00:00:00.000Z,456000,Q,1900,1985,1972,1,4060,28,6000,2018-09-17T09:53:41.000Z
4842,2866    0088,1,1,C,Brick/Concr,40,Good,,,,,2004-12-28T00:00:00.000Z,0,U,2006,,2007,1,11851,74,29343,2018-09-17T09:53:41.000Z
4843,2866    0093,1,1,C,Brick/Concr,40,Good,BR,Brick,10,30,1900-01-01T00:00:00.000Z,0,U,0,,1960,1,39788,21,29700,2018-09-17T09:53:41.000Z
4844,2866    0809,1,1,C,Brick/Concr,40,Good,BR,Brick,8,,1900-01-01T00:00:00.000Z,,U,1910,1991,1987,1,42960,89,16583,2018-09-17T09:53:41.000Z
4845,2866    0836,1,1,C,Brick/Concr,35,Average +,BR,Brick,9,75,2001-12-06T00:00:00.000Z,2336308,Q,1905,1964,1965,1,64819,22,17471,2018-09-17T09:53:41.000Z
4846,2868    0121,1,1,C,Brick/Concr,40,Good,BR,Brick,9,22,1900-01-01T00:00:00.000Z,,U,0,,1988,1,23364,21,21439,2018-09-17T09:53:41.000Z
4847,2868    0153,1,1,,,,,,,,,1900-01-01T00:00:00.000Z,,U,1995,,1995,1,31080,26,34913,2018-09-17T09:53:41.000Z
4848,2868    0155,1,1,A,Struct Steel,60,Excellent,MS,Metal Siding,12,185,2011-06-29T00:00:00.000Z,105538000,Q,2009,,2011,1,276542,22,31279,2018-09-17T09:53:41.000Z
4849,2868    0156,1,1,C,Brick/Concr,30,Average,,,,0,2007-02-13T00:00:00.000Z,0,U,1982,,1986,1,1500,89,3076,2018-09-17T09:53:41.000Z
4850,2868    0820,1,1,C,Brick/Concr,30,Average,BR,Brick,12,152,2009-01-23T00:00:00.000Z,0,U,1916,2003,1975,1,111224,22,89809,2018-09-17T09:53:41.000Z
4851,2868    2133,1,1,C,Brick/Concr,50,Very Good,BV,Brick Veneer,12,1,2010-10-22T00:00:00.000Z,0,U,2011,,2012,1,744,48,218,2018-09-17T09:53:41.000Z
4852,2870    0804,1,1,C,Brick/Concr,50,Very Good,BV,Brick Veneer,12,,1900-01-01T00:00:00.000Z,,U,1928,2013,1980,1,256187,83,390634,2018-09-17T09:53:41.000Z
4853,5584    0840,1,1,C,Brick/Concr,30,Average,SU,Stucco,9,6,2016-07-01T00:00:00.000Z,540000,Q,0,,1960,4,3960,21,4843,2018-09-17T09:53:41.000Z
4854,5585    0030,1,1,C,Brick/Concr,30,Average,BR,Brick,8,5,2015-11-30T00:00:00.000Z,565000,Q,1940,,1965,3,3132,21,6330,2018-09-17T09:53:41.000Z
4855,5585    0031,1,1,C,Brick/Concr,30,Average,BR,Brick,9,5,2015-11-04T00:00:00.000Z,410000,Q,1940,,1965,3,4020,21,4711,2018-09-17T09:53:41.000Z
4856,5585    0033,1,1,C,Brick/Concr,30,Average,BV,Brick Veneer,9,10,2010-07-30T00:00:00.000Z,450000,U,1950,,1965,1,7136,26,6815,2018-09-17T09:53:41.000Z
4857,5585    0810,1,1,C,Brick/Concr,30,Average,BR,Brick,8,11,1900-01-01T00:00:00.000Z,,U,1964,,1969,1,5238,21,8834,2018-09-17T09:53:41.000Z
4858,5585    0811,1,1,C,Brick/Concr,30,Average,BR,Brick,9,15,2008-08-18T00:00:00.000Z,889668,Q,1943,2003,1965,1,8524,21,10000,2018-09-17T09:53:41.000Z
4859,5585    0813,1,1,C,Brick/Concr,30,Average,BR,Brick,9,6,2017-07-28T00:00:00.000Z,575000,Q,1943,,1965,3,4464,21,4975,2018-09-17T09:53:41.000Z
4860,5586    0020,1,1,C,Brick/Concr,30,Average,BR,Brick,9,5,2001-01-01T00:00:00.000Z,0,U,1945,,1965,1,4623,21,3134,2018-09-17T09:53:41.000Z
4861,5586    0058,1,1,C,Brick/Concr,30,Average,BR,Brick,9,12,2017-12-04T00:00:00.000Z,936000,Q,1966,,1970,5,11310,21,12500,2018-09-17T09:53:41.000Z
